<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
120521;00:00:00;242.1100000;244.4200000;241.5600000;241.7900000;33270270
130521;00:00:00;242.2500000;247.2900000;242.0500000;247.1600000;64157170
140521;00:00:00;248.0000000;250.4000000;247.5300000;249.5500000;50267520
170521;00:00:00;250.0000000;255.2500000;249.4500000;255.1500000;41074310
180521;00:00:00;256.1100000;268.3800000;254.5400000;266.2200000;86151870
190521;00:00:00;263.9000000;264.5000000;256.0000000;260.9000000;93197170
200521;00:00:00;260.8000000;262.7800000;256.9000000;259.1600000;46502970
210521;00:00:00;260.0400000;260.7000000;257.1200000;258.0000000;29037660
240521;00:00:00;258.6900000;261.4700000;257.1200000;261.2400000;24616020
250521;00:00:00;262.3300000;262.7200000;258.3100000;259.7900000;30568090
260521;00:00:00;260.5200000;263.3300000;260.0100000;263.0900000;34571110
270521;00:00:00;261.9800000;263.7500000;261.2200000;262.9600000;57534350
280521;00:00:00;263.7900000;265.9300000;261.3500000;262.0000000;35266300
310521;00:00:00;261.0000000;261.6000000;259.3000000;261.0300000;21367010
010621;00:00:00;261.9700000;264.7600000;261.5800000;263.8600000;32746740
020621;00:00:00;264.0500000;271.3600000;263.5500000;271.1500000;53327960
030621;00:00:00;272.3300000;274.3000000;268.2000000;272.1000000;52795050
040621;00:00:00;271.9200000;276.2200000;269.5800000;274.3000000;54381240
070621;00:00:00;274.0500000;276.7000000;273.8500000;275.6700000;34226150
080621;00:00:00;275.5000000;277.5800000;272.9100000;275.3600000;53072570
090621;00:00:00;275.9300000;276.3900000;273.7600000;275.6500000;28255880
100621;00:00:00;275.4000000;277.7700000;274.3200000;276.1000000;37243570
110621;00:00:00;276.5800000;278.0000000;274.8500000;277.0500000;26611040
140621;00:00:00;277.6200000;280.4500000;277.2200000;279.5000000;28175830
150621;00:00:00;279.9200000;280.1400000;272.6300000;272.7200000;52220420
160621;00:00:00;272.9900000;275.2300000;270.1200000;271.8000000;67245290
170621;00:00:00;270.9000000;273.8900000;269.1000000;272.5000000;43611060
180621;00:00:00;271.6100000;273.1800000;268.6500000;270.0600000;52681210
210621;00:00:00;269.7700000;272.8600000;268.0900000;272.6200000;27431480
220621;00:00:00;273.5200000;277.0000000;272.8900000;277.0000000;36914430
230621;00:00:00;277.8900000;279.5600000;276.6700000;277.3500000;33546790
240621;00:00:00;278.2000000;279.4700000;275.5000000;277.4700000;42556030
250621;00:00:00;277.8000000;277.9200000;276.1200000;277.1900000;29702030
280621;00:00:00;277.2300000;279.6100000;276.4300000;276.9900000;28083560
290621;00:00:00;276.1200000;277.5000000;273.1700000;276.8000000;37588780
300621;00:00:00;277.2800000;281.8200000;276.5000000;281.8000000;60312970
010721;00:00:00;281.8800000;286.2500000;281.8800000;285.7400000;50045350
020721;00:00:00;285.7000000;286.1900000;282.8000000;285.6500000;29285170
050721;00:00:00;286.0000000;291.4900000;285.7800000;291.1000000;34201020
060721;00:00:00;292.0000000;295.9700000;291.3400000;293.4500000;80345400
070721;00:00:00;293.8500000;297.4800000;293.4700000;297.3900000;67043710
080721;00:00:00;296.4500000;297.0000000;290.3300000;292.8600000;52704630
090721;00:00:00;293.5100000;295.5800000;292.0000000;295.2200000;40962550
120721;00:00:00;295.5300000;298.4800000;294.9000000;297.3900000;43336120
130721;00:00:00;297.7700000;297.7700000;293.0000000;293.8300000;49180620
140721;00:00:00;282.8800000;286.9300000;282.8800000;284.6000000;52516030
150721;00:00:00;284.5800000;285.1100000;278.9600000;280.0100000;41716630
160721;00:00:00;279.3800000;282.0000000;278.0000000;279.6500000;27958640
190721;00:00:00;277.2600000;279.5100000;273.1500000;275.5100000;42536580
200721;00:00:00;276.7900000;278.6800000;273.1000000;277.3000000;31024530
210721;00:00:00;277.5400000;285.0100000;276.0000000;282.9000000;41055170
220721;00:00:00;283.5000000;285.0900000;281.2100000;283.2800000;40212130
230721;00:00:00;283.0800000;285.0000000;279.0500000;279.5100000;38260370
260721;00:00:00;277.3700000;281.3700000;276.7000000;281.0500000;27353690
270721;00:00:00;280.1900000;280.8300000;276.8400000;278.0800000;28452110
280721;00:00:00;278.0500000;282.9800000;277.7000000;282.2000000;32789740
290721;00:00:00;283.9700000;287.7500000;283.5800000;287.0000000;41127080
300721;00:00:00;285.3700000;287.5800000;283.2800000;287.3500000;46696620
020821;00:00:00;287.8800000;289.4800000;285.2100000;286.7500000;38297270
030821;00:00:00;286.7700000;288.0500000;284.3400000;287.0900000;27065240
040821;00:00:00;287.8900000;288.8000000;286.0000000;287.9400000;23599750
050821;00:00:00;287.3100000;288.2800000;285.1600000;285.9500000;47254880
060821;00:00:00;285.2600000;285.7200000;277.8700000;282.2700000;90600850
090821;00:00:00;282.2300000;287.9000000;280.8000000;286.6800000;68779100
100821;00:00:00;288.0000000;288.8000000;285.7000000;288.6100000;28839550
110821;00:00:00;288.9200000;291.4900000;287.1200000;290.3500000;37928360
120821;00:00:00;290.2500000;293.8100000;290.2500000;293.2300000;37564370
130821;00:00:00;292.6500000;293.9000000;291.7500000;292.7000000;21802270
160821;00:00:00;291.4700000;295.4800000;290.9500000;295.1000000;32273890
170821;00:00:00;295.1300000;299.5000000;290.3200000;298.3200000;50482060
180821;00:00:00;299.0000000;299.9500000;295.0000000;295.0500000;35531240
190821;00:00:00;293.4900000;294.7200000;289.6800000;293.6800000;55911470
200821;00:00:00;293.7900000;294.9000000;289.5000000;292.5700000;38594640
230821;00:00:00;294.7000000;297.9400000;294.1000000;297.6900000;38038340
240821;00:00:00;299.0000000;301.0000000;295.9500000;298.7000000;48940480
250821;00:00:00;298.7100000;299.2000000;294.3700000;296.7000000;30906470
260821;00:00:00;295.9200000;295.9700000;293.0400000;294.3400000;24990510
270821;00:00:00;295.8100000;300.0000000;294.8100000;299.6600000;34063060
300821;00:00:00;301.6600000;305.5000000;299.9700000;305.1700000;69849150
310821;00:00:00;305.8300000;307.6700000;304.1000000;305.6500000;64318080
010921;00:00:00;306.6000000;313.9500000;306.1900000;312.8900000;79410570
